order_item_id,order_id,product_id,quantity,unit_price,discount_amount
74,34,3,1,414.71,0.0
75,34,15,1,645.47,0.0
76,34,34,1,375.85,0.0
77,35,46,1,500.59,150.18
78,36,32,2,41.85,25.11
79,37,34,1,375.85,112.76
80,38,27,5,707.76,0.0
81,39,15,1,645.47,96.82
82,39,35,1,562.97,84.45
83,39,41,1,582.42,87.36
84,40,48,1,211.59,21.16
85,40,44,1,375.48,37.55
86,41,18,1,563.05,0.0
87,42,37,1,255.27,38.29
88,43,41,1,582.42,58.24
89,43,6,1,91.52,9.15
90,43,47,1,574.13,57.41
91,44,24,1,625.05,0.0
92,44,3,1,414.71,0.0
93,44,13,1,779.74,0.0
94,45,5,1,421.71,126.51
95,46,16,1,123.03,18.45
96,46,47,1,574.13,86.12
97,46,44,4,375.48,225.29
98,47,2,1,15.91,3.18
99,47,29,1,619.47,123.89
100,47,17,1,537.5,107.5
101,48,34,1,375.85,37.59
102,48,17,1,537.5,53.75
103,49,32,1,41.85,4.19
104,49,13,1,779.74,77.97
105,49,19,1,578.53,57.85
106,49,23,2,365.58,73.12
107,50,11,1,792.78,158.56
108,51,7,1,607.15,91.07
109,52,28,1,560.0,112.0
110,52,22,1,466.05,93.21
111,53,43,1,34.39,5.16
112,54,47,1,574.13,114.83
113,55,10,1,631.18,126.24
114,56,25,1,670.68,0.0
115,56,2,1,15.91,0.0
116,57,37,1,255.27,0.0
117,58,11,1,792.78,118.92
118,58,20,1,270.47,40.57
119,59,29,1,619.47,0.0
120,59,6,1,91.52,0.0
121,60,28,1,560.0,168.0
122,61,41,1,582.42,0.0
123,62,44,1,375.48,112.64
124,62,7,1,607.15,182.14
125,62,47,1,574.13,172.24
126,62,37,1,255.27,76.58
127,63,3,1,414.71,124.41
128,64,20,1,270.47,54.09
129,64,41,1,582.42,116.48
130,64,31,1,362.11,72.42
131,64,3,1,414.71,82.94
132,65,8,1,785.96,235.79
133,65,42,1,52.69,15.81
134,66,20,1,270.47,0.0
135,67,10,1,631.18,126.24
136,67,11,1,792.78,158.56
137,67,39,1,22.96,4.59
138,67,36,1,127.23,25.45
139,67,21,2,223.49,89.4
140,68,33,2,564.13,225.65
141,68,13,1,779.74,155.95
142,69,30,1,566.48,169.94
143,70,17,1,537.5,161.25
144,71,6,2,91.52,27.46
145,72,45,1,367.04,36.7
146,73,21,1,223.49,33.52
147,73,30,1,566.48,84.97
148,73,16,1,123.03,18.45
149,73,12,2,207.76,62.33
150,74,17,1,537.5,161.25
151,74,24,1,625.05,187.51
152,74,46,2,500.59,300.35
153,75,5,1,421.71,126.51
154,75,7,1,607.15,182.14
155,75,22,3,466.05,419.44
156,76,7,1,607.15,60.72
157,76,49,1,283.23,28.32
158,77,45,4,367.04,440.45
159,78,6,1,91.52,13.73
160,78,21,2,223.49,67.05
161,78,14,1,796.41,119.46
162,78,2,1,15.91,2.39
163,79,49,1,283.23,56.65
164,80,48,1,211.59,63.48
165,80,25,1,670.68,201.2
166,80,11,1,792.78,237.83
167,81,27,1,707.76,106.16
168,82,24,2,625.05,187.51
169,82,13,1,779.74,116.96
170,82,4,1,600.54,90.08
171,83,43,1,34.39,6.88
172,84,10,3,631.18,189.35
173,84,43,2,34.39,6.88
174,84,18,1,563.05,56.3
175,84,38,1,625.69,62.57
176,85,49,2,283.23,56.65
177,86,10,1,631.18,0.0
178,87,48,2,211.59,42.32
179,88,37,2,255.27,51.05
180,89,29,1,619.47,123.89
181,90,39,2,22.96,9.18
182,91,44,1,375.48,37.55
183,92,19,2,578.53,173.56
184,93,32,1,41.85,4.19
185,94,49,1,283.23,42.48
186,94,4,1,600.54,90.08
187,95,34,1,375.85,37.59
188,95,35,4,562.97,225.19
189,95,37,1,255.27,25.53
190,96,8,1,785.96,117.89
191,97,43,2,34.39,13.76
192,97,16,1,123.03,24.61
193,98,50,1,537.63,107.53
194,98,41,1,582.42,116.48
195,99,23,1,365.58,36.56
196,99,3,1,414.71,41.47
197,99,38,3,625.69,187.71
198,99,9,1,68.23,6.82
199,99,17,2,537.5,107.5
200,100,44,5,375.48,187.74
201,101,30,2,566.48,169.94
202,101,21,2,223.49,67.05
203,102,50,3,537.63,0.0
204,102,24,1,625.05,0.0
205,103,30,1,566.48,56.65
206,103,6,1,91.52,9.15
207,104,47,1,574.13,86.12
208,105,25,1,670.68,0.0
209,106,38,1,625.69,187.71
210,107,15,1,645.47,96.82
211,107,16,1,123.03,18.45
212,107,37,1,255.27,38.29
213,108,24,2,625.05,0.0
214,109,33,1,564.13,169.24
215,109,43,1,34.39,10.32
216,110,26,1,584.12,175.24
217,110,45,2,367.04,220.22
218,111,23,1,365.58,36.56
219,111,12,2,207.76,41.55
220,111,44,1,375.48,37.55
221,111,11,1,792.78,79.28
222,111,50,1,537.63,53.76
223,112,29,3,619.47,0.0
224,113,38,1,625.69,125.14
225,113,11,1,792.78,158.56
226,113,25,2,670.68,268.27
227,113,43,1,34.39,6.88
228,114,46,1,500.59,50.06
229,115,22,1,466.05,139.81
230,116,47,1,574.13,57.41
231,116,5,3,421.71,126.51
232,117,46,1,500.59,100.12
233,117,29,1,619.47,123.89
234,117,8,1,785.96,157.19
235,118,26,3,584.12,525.71
236,118,30,1,566.48,169.94
237,119,32,3,41.85,25.11
238,120,21,1,223.49,22.35
239,121,4,1,600.54,0.0
240,121,2,1,15.91,0.0
241,121,46,1,500.59,0.0
242,122,48,4,211.59,84.64
243,122,6,1,91.52,9.15
244,122,22,1,466.05,46.61
245,123,36,1,127.23,19.08
246,123,30,2,566.48,169.94
247,124,42,1,52.69,5.27
248,124,2,1,15.91,1.59
249,124,45,1,367.04,36.7
250,125,48,1,211.59,42.32
251,125,15,1,645.47,129.09
252,125,20,1,270.47,54.09
253,125,11,1,792.78,158.56
254,125,46,3,500.59,300.35
255,126,11,1,792.78,79.28
256,126,42,1,52.69,5.27
257,127,17,1,537.5,107.5
258,127,3,1,414.71,82.94
259,127,27,1,707.76,141.55
260,128,30,1,566.48,169.94
261,128,29,1,619.47,185.84
262,128,14,1,796.41,238.92
263,129,27,1,707.76,141.55
264,130,11,1,792.78,0.0
265,131,20,1,270.47,27.05
266,131,10,1,631.18,63.12
267,131,12,4,207.76,83.1
268,132,31,1,362.11,108.63
269,133,44,2,375.48,112.64
270,134,5,1,421.71,0.0
271,134,1,1,465.94,0.0
272,134,49,1,283.23,0.0
273,135,9,1,68.23,20.47
274,135,48,1,211.59,63.48
275,135,12,2,207.76,124.66
276,135,39,3,22.96,20.66
277,135,13,1,779.74,233.92
278,136,29,1,619.47,92.92
279,137,41,1,582.42,0.0
280,138,23,1,365.58,54.84
281,138,10,1,631.18,94.68
282,138,41,1,582.42,87.36
283,138,13,1,779.74,116.96
284,138,16,1,123.03,18.45
285,139,4,1,600.54,120.11
286,139,18,1,563.05,112.61
287,140,40,2,11.32,3.4
288,140,18,2,563.05,168.91
289,140,28,1,560.0,84.0
290,141,35,1,562.97,112.59
291,142,26,1,584.12,175.24
292,143,34,1,375.85,56.38
293,143,48,2,211.59,63.48
294,143,44,3,375.48,168.97
295,143,22,1,466.05,69.91
296,143,2,1,15.91,2.39
297,144,5,1,421.71,126.51
298,144,11,1,792.78,237.83
299,145,33,2,564.13,225.65
300,146,49,1,283.23,28.32
301,147,49,1,283.23,0.0
302,148,15,1,645.47,96.82
303,149,44,3,375.48,112.64
304,149,40,1,11.32,1.13
305,150,47,1,574.13,57.41
306,151,35,1,562.97,168.89
307,151,20,1,270.47,81.14
308,152,31,1,362.11,36.21
309,153,19,1,578.53,86.78
310,153,49,1,283.23,42.48
311,153,29,1,619.47,92.92
312,154,44,1,375.48,75.1
313,154,36,1,127.23,25.45
314,155,19,1,578.53,173.56
315,156,9,3,68.23,40.94
316,156,34,1,375.85,75.17
317,157,42,1,52.69,7.9
318,158,20,1,270.47,81.14
319,158,19,1,578.53,173.56
320,159,44,1,375.48,75.1
321,160,41,1,582.42,116.48
322,161,33,2,564.13,112.83
323,162,35,1,562.97,56.3
324,163,6,1,91.52,9.15
325,164,23,1,365.58,54.84
326,165,38,1,625.69,125.14
327,165,47,1,574.13,114.83
328,165,13,5,779.74,779.74
329,166,49,1,283.23,0.0
330,167,21,1,223.49,33.52
331,167,44,1,375.48,56.32
332,167,1,2,465.94,139.78
333,168,33,1,564.13,112.83
334,168,17,2,537.5,215.0
335,169,2,1,15.91,0.0
336,170,49,1,283.23,0.0
337,170,36,2,127.23,0.0
338,170,10,3,631.18,0.0
339,171,11,1,792.78,158.56
340,171,9,1,68.23,13.65
341,171,10,1,631.18,126.24
342,172,47,1,574.13,0.0
343,172,29,1,619.47,0.0
344,172,27,1,707.76,0.0
345,172,43,1,34.39,0.0
346,172,9,1,68.23,0.0
347,173,39,1,22.96,2.3
348,173,7,1,607.15,60.72
349,173,5,1,421.71,42.17
350,174,42,1,52.69,5.27
351,174,34,1,375.85,37.59
352,175,13,1,779.74,77.97
353,176,29,1,619.47,92.92
354,177,50,1,537.63,107.53
355,178,29,1,619.47,0.0
356,178,6,1,91.52,0.0
357,179,27,1,707.76,70.78
358,179,49,1,283.23,28.32
359,179,15,1,645.47,64.55
360,179,29,2,619.47,123.89
361,180,37,1,255.27,51.05
362,181,38,1,625.69,0.0
363,182,40,1,11.32,1.13
364,183,8,1,785.96,0.0
365,183,42,1,52.69,0.0
366,183,16,1,123.03,0.0
367,183,10,1,631.18,0.0
368,184,16,1,123.03,0.0
369,184,41,1,582.42,0.0
370,185,38,1,625.69,125.14
371,186,21,1,223.49,67.05
372,186,14,1,796.41,238.92
373,187,4,1,600.54,0.0
374,187,31,1,362.11,0.0
375,188,47,1,574.13,172.24
376,189,18,1,563.05,0.0
377,189,46,1,500.59,0.0
378,189,30,1,566.48,0.0
379,189,32,1,41.85,0.0
380,190,32,1,41.85,12.55
381,191,41,1,582.42,58.24
382,191,20,1,270.47,27.05
383,192,27,1,707.76,106.16
384,192,4,1,600.54,90.08
385,192,1,1,465.94,69.89
386,192,24,1,625.05,93.76
387,192,21,2,223.49,67.05
388,193,7,1,607.15,121.43
389,193,8,1,785.96,157.19
390,194,10,1,631.18,63.12
391,195,13,1,779.74,233.92
392,196,36,1,127.23,38.17
393,196,15,1,645.47,193.64
394,197,26,1,584.12,0.0
395,197,43,3,34.39,0.0
396,198,36,1,127.23,19.08
397,199,29,2,619.47,185.84
398,199,45,1,367.04,55.06
399,200,48,1,211.59,42.32
400,201,14,3,796.41,0.0
401,201,10,1,631.18,0.0
402,202,47,1,574.13,86.12
403,202,42,1,52.69,7.9
404,202,15,1,645.47,96.82
405,203,36,2,127.23,50.89
406,203,18,1,563.05,112.61
407,204,13,1,779.74,0.0
408,204,5,1,421.71,0.0
409,205,29,1,619.47,0.0
410,205,16,1,123.03,0.0
411,205,50,1,537.63,0.0
412,205,5,1,421.71,0.0
413,206,26,2,584.12,233.65
414,207,37,1,255.27,38.29
415,207,8,1,785.96,117.89
416,208,40,1,11.32,0.0
417,208,30,1,566.48,0.0
418,208,14,3,796.41,0.0
419,209,11,1,792.78,237.83
420,210,18,1,563.05,84.46
421,210,33,1,564.13,84.62
422,210,43,1,34.39,5.16
423,210,36,3,127.23,57.25
424,211,50,1,537.63,161.29
425,211,15,3,645.47,580.92
426,211,37,1,255.27,76.58
427,212,20,1,270.47,0.0
428,213,20,2,270.47,81.14
429,214,5,1,421.71,84.34
430,215,12,3,207.76,186.98
431,216,13,1,779.74,0.0
432,217,50,1,537.63,53.76
433,218,4,1,600.54,60.05
434,218,28,1,560.0,56.0
435,218,49,1,283.23,28.32
436,218,30,1,566.48,56.65
437,219,4,1,600.54,180.16
438,219,18,2,563.05,337.83
439,219,16,1,123.03,36.91
440,220,5,1,421.71,84.34
441,220,45,2,367.04,146.82
442,220,26,1,584.12,116.82
443,221,33,1,564.13,84.62
444,221,32,1,41.85,6.28
445,222,21,2,223.49,89.4
446,223,36,2,127.23,0.0
447,223,49,1,283.23,0.0
448,224,26,1,584.12,87.62
449,225,8,1,785.96,235.79
450,226,8,1,785.96,0.0
451,226,12,1,207.76,0.0
452,226,40,5,11.32,0.0
453,227,21,1,223.49,33.52
454,228,16,1,123.03,0.0
455,228,15,1,645.47,0.0
456,228,23,2,365.58,0.0
457,229,34,1,375.85,37.59
458,230,41,5,582.42,873.63
459,231,38,1,625.69,0.0
460,232,5,1,421.71,0.0
461,232,34,2,375.85,0.0
462,233,23,1,365.58,54.84
463,234,41,1,582.42,0.0
464,234,40,1,11.32,0.0
465,235,7,1,607.15,182.14
466,235,11,1,792.78,237.83
467,236,43,1,34.39,0.0
468,236,25,1,670.68,0.0
469,236,46,1,500.59,0.0
470,237,30,1,566.48,169.94
471,237,19,1,578.53,173.56
472,238,21,1,223.49,22.35
473,239,49,1,283.23,42.48
474,239,47,1,574.13,86.12
475,239,41,1,582.42,87.36
476,240,15,1,645.47,0.0
477,241,3,1,414.71,41.47
478,242,23,1,365.58,36.56
479,242,11,1,792.78,79.28
480,242,15,2,645.47,129.09
481,243,22,2,466.05,279.63
482,243,6,1,91.52,27.46
483,243,24,1,625.05,187.51
484,244,42,1,52.69,0.0
485,244,4,1,600.54,0.0
486,245,1,1,465.94,69.89
487,245,39,3,22.96,10.33
488,246,37,1,255.27,25.53
489,246,17,1,537.5,53.75
490,247,14,1,796.41,79.64
491,248,30,1,566.48,56.65
492,248,42,1,52.69,5.27
493,248,12,1,207.76,20.78
494,248,24,1,625.05,62.5
495,249,34,3,375.85,0.0
496,249,21,1,223.49,0.0
497,250,18,1,563.05,84.46
498,251,12,2,207.76,124.66
499,251,44,1,375.48,112.64
500,251,41,2,582.42,349.45
501,251,40,1,11.32,3.4
502,252,50,1,537.63,161.29
503,253,43,1,34.39,0.0
504,253,23,1,365.58,0.0
505,253,25,1,670.68,0.0
506,254,1,1,465.94,0.0
507,255,4,1,600.54,60.05
508,255,38,2,625.69,125.14
509,256,38,1,625.69,187.71
510,257,50,1,537.63,53.76
511,257,13,3,779.74,233.92
512,257,49,2,283.23,56.65
513,257,18,1,563.05,56.3
514,258,30,1,566.48,169.94
515,259,29,1,619.47,92.92
516,259,36,1,127.23,19.08
517,260,45,1,367.04,73.41
518,261,27,1,707.76,141.55
519,261,3,1,414.71,82.94
520,262,34,1,375.85,112.76
521,262,15,1,645.47,193.64
522,263,19,1,578.53,173.56
523,264,46,1,500.59,100.12
524,264,8,1,785.96,157.19
525,265,24,1,625.05,0.0
526,265,30,1,566.48,0.0
527,266,42,2,52.69,10.54
528,266,1,1,465.94,46.59
529,267,42,1,52.69,0.0
530,268,45,4,367.04,146.82
531,268,41,1,582.42,58.24
532,268,38,1,625.69,62.57
533,268,39,1,22.96,2.3
534,269,2,1,15.91,2.39
535,269,38,2,625.69,187.71
536,270,1,1,465.94,93.19
537,270,3,2,414.71,165.88
538,271,29,1,619.47,123.89
539,272,10,1,631.18,126.24
540,273,50,1,537.63,80.64
541,273,12,3,207.76,93.49
542,274,7,1,607.15,182.14
543,274,22,5,466.05,699.07
544,275,17,1,537.5,53.75
545,275,18,1,563.05,56.3
546,276,35,1,562.97,56.3
547,276,44,1,375.48,37.55
548,276,50,1,537.63,53.76
549,276,37,1,255.27,25.53
550,277,31,1,362.11,108.63
551,278,24,1,625.05,0.0
552,278,4,1,600.54,0.0
553,279,10,1,631.18,94.68
554,280,23,2,365.58,146.23
555,281,8,1,785.96,117.89
556,281,15,1,645.47,96.82
557,282,23,1,365.58,0.0
558,282,10,1,631.18,0.0
559,282,15,1,645.47,0.0
560,282,28,1,560.0,0.0
561,283,38,1,625.69,62.57
562,284,36,5,127.23,95.42
563,285,2,1,15.91,4.77
564,285,26,1,584.12,175.24
565,286,48,1,211.59,21.16
566,287,25,1,670.68,134.14
567,287,10,1,631.18,126.24
568,287,6,1,91.52,18.3
569,287,49,1,283.23,56.65
570,288,10,1,631.18,94.68
571,289,18,4,563.05,450.44
572,290,28,5,560.0,840.0
573,291,13,1,779.74,233.92
574,291,2,1,15.91,4.77
575,291,36,1,127.23,38.17
576,292,42,1,52.69,10.54
577,293,13,2,779.74,311.9
578,293,48,1,211.59,42.32
579,293,10,1,631.18,126.24
580,293,18,1,563.05,112.61
581,294,24,2,625.05,375.03
582,295,27,1,707.76,70.78
583,296,42,1,52.69,15.81
584,296,4,1,600.54,180.16
585,297,49,1,283.23,56.65
586,298,5,1,421.71,0.0
587,299,48,1,211.59,0.0
588,300,11,1,792.78,79.28
589,300,13,1,779.74,77.97
590,300,30,1,566.48,56.65
591,301,46,1,500.59,100.12
592,302,26,1,584.12,0.0
593,303,1,1,465.94,0.0
594,303,36,1,127.23,0.0
595,304,50,1,537.63,53.76
596,304,5,1,421.71,42.17
597,305,20,1,270.47,81.14
598,306,35,1,562.97,112.59
599,307,1,1,465.94,46.59
600,308,13,2,779.74,311.9
601,309,1,1,465.94,0.0
602,309,17,1,537.5,0.0
603,309,4,1,600.54,0.0
604,310,3,2,414.71,124.41
605,310,49,1,283.23,42.48
606,311,6,1,91.52,9.15
607,312,15,1,645.47,64.55
608,313,10,1,631.18,189.35
609,313,29,1,619.47,185.84
610,314,14,1,796.41,79.64
611,315,27,1,707.76,70.78
612,315,21,1,223.49,22.35
613,315,10,1,631.18,63.12
614,316,15,1,645.47,0.0
615,316,1,1,465.94,0.0
616,317,32,1,41.85,4.19
617,317,36,1,127.23,12.72
618,317,35,1,562.97,56.3
619,318,12,1,207.76,31.16
620,318,43,1,34.39,5.16
621,319,27,1,707.76,141.55
622,319,15,1,645.47,129.09
623,319,23,1,365.58,73.12
624,319,16,1,123.03,24.61
625,320,15,2,645.47,193.64
626,321,50,2,537.63,161.29
627,321,13,1,779.74,116.96
628,321,25,1,670.68,100.6
629,322,24,2,625.05,375.03
630,322,17,1,537.5,161.25
631,322,44,1,375.48,112.64
632,323,13,1,779.74,0.0
633,323,25,1,670.68,0.0
634,323,14,4,796.41,0.0
635,324,15,1,645.47,64.55
636,325,3,2,414.71,0.0
637,325,7,1,607.15,0.0
638,326,8,1,785.96,157.19
639,326,32,1,41.85,8.37
640,326,47,1,574.13,114.83
641,327,25,1,670.68,67.07
642,327,33,1,564.13,56.41
643,327,4,1,600.54,60.05
644,328,16,1,123.03,24.61
645,329,34,5,375.85,281.89
646,329,1,1,465.94,69.89
647,329,19,1,578.53,86.78
648,329,10,4,631.18,378.71
649,330,10,2,631.18,252.47
650,330,23,1,365.58,73.12
651,331,22,1,466.05,93.21
652,332,24,1,625.05,187.51
653,332,9,1,68.23,20.47
654,332,1,1,465.94,139.78
655,333,25,1,670.68,0.0
656,334,8,2,785.96,157.19
657,334,10,1,631.18,63.12
658,335,21,1,223.49,0.0
659,336,17,1,537.5,161.25
660,337,29,1,619.47,61.95
661,337,21,1,223.49,22.35
662,338,27,3,707.76,636.98
663,338,48,1,211.59,63.48
664,339,50,1,537.63,80.64
665,340,15,1,645.47,0.0
666,341,8,1,785.96,0.0
667,342,7,1,607.15,0.0
668,342,46,1,500.59,0.0
669,342,9,3,68.23,0.0
670,343,30,1,566.48,113.3
671,344,32,1,41.85,6.28
672,344,50,1,537.63,80.64
673,345,33,1,564.13,84.62
674,345,18,5,563.05,422.29
675,346,11,1,792.78,79.28
676,346,28,1,560.0,56.0
677,347,44,1,375.48,0.0
678,347,25,1,670.68,0.0
679,348,14,4,796.41,637.13
680,348,11,1,792.78,158.56
681,348,5,1,421.71,84.34
682,349,31,1,362.11,0.0
683,350,27,1,707.76,212.33
684,351,33,1,564.13,112.83
685,352,11,1,792.78,79.28
686,352,17,1,537.5,53.75
687,352,27,1,707.76,70.78
688,353,13,1,779.74,116.96
689,353,42,1,52.69,7.9
690,353,45,1,367.04,55.06
691,354,11,1,792.78,158.56
692,355,18,1,563.05,56.3
693,356,50,1,537.63,107.53
694,357,5,1,421.71,0.0
695,357,21,1,223.49,0.0
696,357,26,1,584.12,0.0
697,358,25,1,670.68,0.0
698,358,20,1,270.47,0.0
699,358,19,1,578.53,0.0
700,358,49,1,283.23,0.0
701,359,33,1,564.13,112.83
702,360,8,1,785.96,157.19
703,361,5,3,421.71,126.51
704,362,22,1,466.05,93.21
705,363,47,1,574.13,0.0
706,363,26,5,584.12,0.0
707,363,12,1,207.76,0.0
708,363,11,1,792.78,0.0
709,363,22,1,466.05,0.0
710,364,18,1,563.05,84.46
711,365,36,1,127.23,12.72
712,365,43,2,34.39,6.88
713,366,14,1,796.41,159.28
714,367,36,3,127.23,76.34
715,367,35,2,562.97,225.19
716,368,2,1,15.91,0.0
717,368,50,1,537.63,0.0
718,368,31,1,362.11,0.0
719,369,19,1,578.53,0.0
720,370,16,1,123.03,24.61
721,370,5,3,421.71,253.03
722,371,22,2,466.05,279.63
723,371,50,1,537.63,161.29
724,371,24,1,625.05,187.51
725,371,30,2,566.48,339.89
726,372,39,2,22.96,9.18
727,373,47,1,574.13,172.24
728,373,39,1,22.96,6.89
729,374,12,1,207.76,31.16
730,375,46,1,500.59,0.0
731,375,23,1,365.58,0.0
732,376,38,4,625.69,500.55
733,376,15,2,645.47,258.19
734,376,1,1,465.94,93.19
735,376,32,1,41.85,8.37
736,377,32,1,41.85,0.0
737,377,22,1,466.05,0.0
738,378,33,1,564.13,112.83
739,379,18,1,563.05,0.0
740,380,9,2,68.23,0.0
741,380,38,1,625.69,0.0
742,380,16,1,123.03,0.0
743,381,13,1,779.74,233.92
744,381,15,2,645.47,387.28
745,382,3,1,414.71,82.94
746,382,22,1,466.05,93.21
747,383,49,3,283.23,0.0
748,384,14,1,796.41,119.46
749,384,13,1,779.74,116.96
750,384,12,3,207.76,93.49
751,385,40,4,11.32,13.58
752,385,24,2,625.05,375.03
753,385,48,1,211.59,63.48
754,386,19,1,578.53,115.71
755,386,18,1,563.05,112.61
756,387,21,1,223.49,0.0
757,388,8,3,785.96,235.79
758,389,47,1,574.13,0.0
759,390,27,1,707.76,106.16
760,391,9,1,68.23,20.47
761,391,32,3,41.85,37.66
762,391,21,1,223.49,67.05
763,392,5,1,421.71,63.26
764,393,37,1,255.27,38.29
765,394,40,2,11.32,3.4
766,395,42,1,52.69,0.0
767,395,43,2,34.39,0.0
768,396,6,1,91.52,27.46
769,397,2,2,15.91,0.0
770,397,32,1,41.85,0.0
771,398,46,1,500.59,0.0
772,399,29,1,619.47,92.92
773,400,24,1,625.05,125.01
774,400,37,2,255.27,102.11
775,400,13,1,779.74,155.95
776,401,16,1,123.03,18.45
777,401,23,2,365.58,109.67
778,401,15,1,645.47,96.82
779,401,2,1,15.91,2.39
780,401,17,1,537.5,80.62
781,402,9,4,68.23,40.94
782,403,39,1,22.96,3.44
783,404,50,1,537.63,53.76
784,404,21,1,223.49,22.35
785,404,40,1,11.32,1.13
786,404,44,1,375.48,37.55
787,404,43,1,34.39,3.44
788,405,45,1,367.04,55.06
789,406,28,1,560.0,56.0
790,406,2,1,15.91,1.59
791,406,22,1,466.05,46.61
792,407,33,1,564.13,56.41
793,407,44,5,375.48,187.74
794,407,14,1,796.41,79.64
795,408,4,1,600.54,90.08
796,408,6,1,91.52,13.73
797,408,42,2,52.69,15.81
798,409,44,1,375.48,75.1
799,409,47,1,574.13,114.83
800,410,40,1,11.32,3.4
801,411,36,1,127.23,19.08
802,412,14,1,796.41,119.46
803,412,4,1,600.54,90.08
804,412,19,1,578.53,86.78
805,412,5,5,421.71,316.28
806,413,47,1,574.13,0.0
807,414,12,5,207.76,311.64
808,414,16,1,123.03,36.91
809,414,23,1,365.58,109.67
810,415,7,2,607.15,364.29
811,415,19,1,578.53,173.56
812,415,26,1,584.12,175.24
813,416,20,1,270.47,81.14
814,417,13,1,779.74,155.95
815,417,48,3,211.59,126.95
816,418,19,1,578.53,57.85
817,418,33,1,564.13,56.41
818,419,20,1,270.47,40.57
819,420,45,1,367.04,110.11
820,421,27,1,707.76,0.0
821,422,35,1,562.97,0.0
822,422,44,3,375.48,0.0
823,422,39,1,22.96,0.0
824,423,11,1,792.78,118.92
825,423,9,1,68.23,10.23
826,423,5,1,421.71,63.26
827,424,15,3,645.47,580.92
828,425,19,1,578.53,0.0
829,425,48,1,211.59,0.0
830,425,18,1,563.05,0.0
831,426,49,1,283.23,42.48
832,426,11,1,792.78,118.92
833,426,44,1,375.48,56.32
834,427,3,1,414.71,82.94
835,428,37,1,255.27,51.05
836,429,18,1,563.05,84.46
837,429,15,1,645.47,96.82
838,430,26,1,584.12,175.24
839,430,12,2,207.76,124.66
840,431,17,1,537.5,53.75
841,431,15,1,645.47,64.55
842,431,37,1,255.27,25.53
843,431,31,1,362.11,36.21
844,432,16,1,123.03,24.61
845,433,11,1,792.78,0.0
846,433,49,1,283.23,0.0
847,433,18,1,563.05,0.0
848,434,35,1,562.97,112.59
849,435,40,1,11.32,0.0
850,436,24,1,625.05,62.5
851,437,20,2,270.47,108.19
852,437,49,1,283.23,56.65
853,438,11,1,792.78,0.0
854,439,32,1,41.85,0.0
855,439,22,1,466.05,0.0
856,440,25,1,670.68,67.07
857,440,8,1,785.96,78.6
858,441,27,1,707.76,70.78
859,442,46,1,500.59,0.0
860,442,48,1,211.59,0.0
861,442,9,1,68.23,0.0
862,443,34,1,375.85,112.76
863,444,44,1,375.48,56.32
864,444,35,3,562.97,253.34
865,444,27,1,707.76,106.16
866,445,36,1,127.23,25.45
867,446,25,2,670.68,402.41
868,447,25,1,670.68,67.07
869,447,6,1,91.52,9.15
870,447,5,2,421.71,84.34
871,447,28,1,560.0,56.0
